12:49:07;29 ; 22.45 ; 70.71
12:49:10;32 ; 22.46 ; 70.68
12:49:13;35 ; 22.46 ; 70.66
12:49:16;38 ; 22.46 ; 70.64
12:49:19;41 ; 22.47 ; 70.63
12:49:22;44 ; 22.47 ; 70.62
12:49:25;47 ; 22.47 ; 70.61
12:49:28;50 ; 22.47 ; 70.60
12:49:31;53 ; 22.48 ; 70.59
12:49:34;56 ; 22.48 ; 70.50
12:49:37;59 ; 22.50 ; 70.50
12:49:40;62 ; 22.52 ; 70.47
12:49:43;65 ; 22.53 ; 70.46
12:49:46;68 ; 22.55 ; 70.42
12:49:49;71 ; 22.56 ; 70.39
12:49:52;74 ; 22.57 ; 70.37
12:49:55;77 ; 22.58 ; 70.35
12:49:58;80 ; 22.59 ; 70.32
12:50:01;83 ; 22.61 ; 70.30
12:50:04;86 ; 22.62 ; 70.27
12:50:07;89 ; 22.63 ; 70.25
12:50:10;92 ; 22.64 ; 70.20
12:50:13;95 ; 22.65 ; 70.19
12:50:16;98 ; 22.66 ; 70.17
12:50:19;101 ; 22.67 ; 70.15
12:50:22;104 ; 22.68 ; 70.13
12:50:25;107 ; 22.68 ; 70.11
12:50:28;110 ; 22.69 ; 70.09
12:50:31;113 ; 22.70 ; 70.07
12:50:34;116 ; 22.70 ; 70.05
12:50:37;119 ; 22.71 ; 70.04
12:50:40;122 ; 22.72 ; 70.02
12:50:43;125 ; 22.72 ; 70.00
12:50:46;128 ; 22.72 ; 69.98
12:50:49;131 ; 22.73 ; 69.96
12:50:52;134 ; 22.73 ; 69.95
12:50:55;137 ; 22.74 ; 69.94
12:50:58;140 ; 22.75 ; 69.92
12:51:01;143 ; 22.75 ; 69.91
12:51:04;146 ; 22.76 ; 69.90
12:51:07;149 ; 22.76 ; 69.89
12:51:10;152 ; 22.77 ; 69.87
12:51:13;155 ; 22.77 ; 69.87
12:51:16;158 ; 22.78 ; 69.85
12:51:19;161 ; 22.78 ; 69.84
12:51:22;164 ; 22.79 ; 69.83
12:51:25;167 ; 22.79 ; 69.82
12:51:28;170 ; 22.79 ; 69.81
12:51:31;173 ; 22.79 ; 69.81
12:51:34;176 ; 22.80 ; 69.80
12:51:37;179 ; 22.81 ; 69.79
12:51:40;182 ; 22.81 ; 69.79
12:51:43;185 ; 22.82 ; 69.77
12:51:46;188 ; 22.81 ; 69.77
12:51:49;191 ; 22.82 ; 69.75
12:51:52;194 ; 22.82 ; 69.76
12:51:55;197 ; 22.82 ; 69.73
12:51:58;200 ; 22.83 ; 69.74
12:52:01;203 ; 22.83 ; 69.72
12:52:04;206 ; 22.83 ; 69.72
12:52:07;209 ; 22.83 ; 69.71
12:52:10;212 ; 22.83 ; 69.71
12:52:13;215 ; 22.84 ; 69.70
12:52:16;218 ; 22.84 ; 69.71
12:52:19;221 ; 22.84 ; 69.71
12:52:22;224 ; 22.84 ; 69.71
12:52:25;227 ; 22.85 ; 69.70
12:52:28;230 ; 22.85 ; 69.71
12:52:31;233 ; 22.85 ; 69.69
12:52:34;236 ; 22.85 ; 69.69
12:52:37;239 ; 22.85 ; 69.69
12:52:40;242 ; 22.85 ; 69.69
12:52:43;245 ; 22.86 ; 69.68
12:52:46;248 ; 22.86 ; 69.68
12:52:49;251 ; 22.86 ; 69.68
12:52:52;254 ; 22.86 ; 69.68
12:52:55;257 ; 22.86 ; 69.67
12:52:58;260 ; 22.87 ; 69.69
12:53:01;263 ; 22.87 ; 69.66
12:53:04;266 ; 22.87 ; 69.66
12:53:07;269 ; 22.87 ; 69.65
12:53:10;272 ; 22.88 ; 69.65
12:53:13;275 ; 22.88 ; 69.65
12:53:16;278 ; 22.88 ; 69.65
12:53:19;281 ; 22.88 ; 69.65
12:53:22;284 ; 22.88 ; 69.65
12:53:25;287 ; 22.89 ; 69.65
12:53:28;290 ; 22.89 ; 69.65
12:53:31;293 ; 22.89 ; 69.66
12:53:34;296 ; 22.89 ; 69.66
12:53:37;299 ; 22.89 ; 69.67
12:53:40;302 ; 22.90 ; 69.67
12:53:43;305 ; 22.89 ; 69.67
12:53:46;308 ; 22.90 ; 69.67
12:53:49;311 ; 22.90 ; 69.67
12:53:52;314 ; 22.90 ; 69.67
12:53:55;317 ; 22.90 ; 69.67
12:53:58;320 ; 22.91 ; 69.68
12:54:01;323 ; 22.91 ; 69.68
12:54:04;326 ; 22.91 ; 69.68
12:54:07;329 ; 22.91 ; 69.68
12:54:10;332 ; 22.91 ; 69.68
12:54:13;335 ; 22.91 ; 69.69
12:54:16;338 ; 22.91 ; 69.68
12:54:19;341 ; 22.91 ; 69.68
12:54:22;344 ; 22.92 ; 69.68
12:54:25;347 ; 22.91 ; 69.68
12:54:28;350 ; 22.92 ; 69.68
12:54:31;353 ; 22.92 ; 69.69
12:54:34;356 ; 22.92 ; 69.69
12:54:37;359 ; 22.92 ; 69.69
12:54:40;362 ; 22.93 ; 69.69
12:54:43;365 ; 22.92 ; 69.71
12:54:46;368 ; 22.93 ; 69.69
12:54:49;371 ; 22.93 ; 69.69
12:54:52;374 ; 22.93 ; 69.71
12:54:55;377 ; 22.93 ; 69.69
12:54:58;380 ; 22.93 ; 69.70
12:55:01;383 ; 22.94 ; 69.70
12:55:04;386 ; 22.93 ; 69.70
12:55:07;389 ; 22.94 ; 69.68
12:55:10;392 ; 22.94 ; 69.70
12:55:13;395 ; 22.94 ; 69.69
12:55:16;398 ; 22.95 ; 69.70
12:55:19;401 ; 22.94 ; 69.70
12:55:22;404 ; 22.95 ; 69.70
12:55:25;407 ; 22.95 ; 69.70
12:55:28;410 ; 22.94 ; 69.69
12:55:31;413 ; 22.95 ; 69.70
12:55:34;416 ; 22.95 ; 69.69
12:55:37;419 ; 22.95 ; 69.69
12:55:40;422 ; 22.96 ; 69.69
12:55:43;425 ; 22.95 ; 69.69
12:55:46;428 ; 22.96 ; 69.69
12:55:49;431 ; 22.96 ; 69.68
12:55:52;434 ; 22.96 ; 69.69
12:55:55;437 ; 22.96 ; 69.69
12:55:58;440 ; 22.96 ; 69.69
12:56:01;443 ; 22.96 ; 69.69
12:56:04;446 ; 22.96 ; 69.69
12:56:07;449 ; 22.96 ; 69.69
12:56:10;452 ; 22.96 ; 69.70
12:56:13;455 ; 22.97 ; 69.69
12:56:16;458 ; 22.97 ; 69.69
12:56:19;461 ; 22.97 ; 69.69
12:56:22;464 ; 22.97 ; 69.69
12:56:25;467 ; 22.98 ; 69.69
12:56:28;470 ; 22.98 ; 69.68
12:56:31;473 ; 22.98 ; 69.69
12:56:34;476 ; 22.98 ; 69.68
12:56:37;479 ; 22.98 ; 69.68
12:56:40;482 ; 22.98 ; 69.68
12:56:43;485 ; 22.98 ; 69.68
12:56:46;488 ; 22.98 ; 69.68
12:56:49;491 ; 22.99 ; 69.68
12:56:52;494 ; 22.99 ; 69.68
12:56:55;497 ; 22.99 ; 69.68
12:56:58;500 ; 22.99 ; 69.68
12:57:01;503 ; 22.99 ; 69.68
12:57:04;506 ; 22.99 ; 69.68
12:57:07;509 ; 22.99 ; 69.68
12:57:10;512 ; 22.99 ; 69.68
12:57:13;515 ; 23.00 ; 69.67
12:57:16;518 ; 22.99 ; 69.67
12:57:19;521 ; 23.00 ; 69.67
12:57:22;524 ; 23.00 ; 69.66
12:57:25;527 ; 23.00 ; 69.67
12:57:28;530 ; 23.01 ; 69.66
12:57:31;533 ; 23.00 ; 69.67
12:57:34;536 ; 23.01 ; 69.67
12:57:37;539 ; 23.00 ; 69.66
