12:48:44;22.79;86.67
12:48:46;22.79;86.70
12:48:49;22.79;86.74
12:48:51;22.79;86.75
12:48:53;22.79;86.74
12:48:56;22.79;86.77
12:48:58;22.79;86.75
12:49:00;22.79;86.77
12:49:02;22.79;86.77
12:49:05;22.79;86.77
12:49:07;22.79;86.77
12:49:09;22.79;86.77
12:49:11;22.79;86.77
12:49:14;22.79;86.77
12:49:16;22.79;86.77
12:49:18;22.79;86.77
12:49:20;22.79;86.77
12:49:23;22.79;86.78
12:49:25;22.79;86.76
12:49:27;22.79;86.81
12:49:30;22.79;86.81
12:49:32;22.79;86.86
12:49:34;22.79;86.85
12:49:36;22.79;86.71
12:49:39;22.80;86.28
12:49:41;22.82;85.64
12:49:43;22.82;84.94
12:49:45;22.83;84.04
12:49:48;22.84;83.19
12:49:50;22.85;82.31
12:49:52;22.85;81.48
12:49:55;22.87;80.60
12:49:57;22.87;79.84
12:49:59;22.88;79.05
12:50:01;22.88;78.35
12:50:04;22.89;77.65
12:50:06;22.90;77.02
12:50:08;22.90;76.42
12:50:10;22.90;75.89
12:50:13;22.91;75.30
12:50:15;22.91;74.82
12:50:17;22.91;74.38
12:50:20;22.92;73.95
12:50:22;22.93;73.49
12:50:24;22.93;73.13
12:50:26;22.93;72.80
12:50:29;22.93;72.48
12:50:31;22.94;72.14
12:50:33;22.95;71.81
12:50:35;22.95;71.57
12:50:38;22.95;71.33
12:50:40;22.95;71.09
12:50:42;22.95;70.90
12:50:44;22.95;70.68
12:50:47;22.96;70.43
12:50:49;22.96;70.29
12:50:51;22.96;70.11
12:50:54;22.96;69.94
12:50:56;22.96;69.80
12:50:58;22.96;69.68
12:51:00;22.96;69.56
12:51:03;22.97;69.43
12:51:05;22.97;69.30
12:51:07;22.98;69.19
12:51:09;22.98;69.10
12:51:12;22.98;68.99
12:51:14;22.98;68.90
12:51:16;22.98;68.86
12:51:19;22.98;68.75
12:51:21;22.98;68.73
12:51:23;22.98;68.63
12:51:25;22.98;68.63
12:51:28;22.98;68.50
12:51:30;22.98;68.51
12:51:32;22.98;68.41
12:51:34;22.99;68.34
12:51:37;22.99;68.33
12:51:39;22.99;68.29
12:51:41;23.00;68.18
12:51:44;23.00;68.18
12:51:46;23.00;68.16
12:51:48;23.00;68.14
12:51:50;23.00;68.07
12:51:53;23.00;68.06
12:51:55;23.00;68.06
12:51:57;23.00;68.04
12:51:59;23.00;68.00
12:52:02;23.00;67.94
12:52:04;23.00;67.92
12:52:06;23.00;67.90
12:52:09;23.00;67.91
12:52:11;23.01;67.88
12:52:13;23.01;67.86
12:52:15;23.01;67.84
12:52:18;23.01;67.84
12:52:20;23.01;67.84
12:52:22;23.01;67.81
12:52:24;23.01;67.78
12:52:27;23.01;67.78
12:52:29;23.01;67.73
12:52:31;23.01;67.74
12:52:33;23.01;67.73
12:52:36;23.01;67.74
12:52:38;23.01;67.73
12:52:40;23.02;67.70
12:52:43;23.01;67.72
12:52:45;23.02;67.70
12:52:47;23.02;67.69
12:52:49;23.02;67.66
12:52:52;23.02;67.66
12:52:54;23.03;67.62
12:52:56;23.03;67.63
12:52:58;23.02;67.64
12:53:01;23.03;67.63
12:53:03;23.03;67.62
12:53:05;23.03;67.62
12:53:08;23.03;67.62
12:53:10;23.03;67.62
12:53:12;23.03;67.62
12:53:14;23.03;67.62
12:53:17;23.03;67.61
12:53:19;23.03;67.62
12:53:21;23.03;67.61
12:53:23;23.03;67.60
12:53:26;23.04;67.54
12:53:28;23.04;67.54
12:53:30;23.04;67.52
12:53:33;23.04;67.52
12:53:35;23.04;67.52
12:53:37;23.04;67.54
12:53:39;23.04;67.55
12:53:42;23.04;67.59
12:53:44;23.04;67.59
12:53:46;23.04;67.60
12:53:48;23.05;67.59
12:53:51;23.05;67.59
12:53:53;23.05;67.58
12:53:55;23.06;67.54
12:53:57;23.06;67.52
12:54:00;23.06;67.53
12:54:02;23.06;67.52
12:54:04;23.06;67.52
12:54:07;23.06;67.52
12:54:09;23.06;67.53
12:54:11;23.06;67.53
12:54:13;23.06;67.53
12:54:16;23.06;67.52
12:54:18;23.07;67.54
12:54:20;23.07;67.51
12:54:22;23.07;67.53
12:54:25;23.07;67.53
12:54:27;23.08;67.53
12:54:29;23.08;67.54
12:54:32;23.08;67.53
12:54:34;23.08;67.53
12:54:36;23.08;67.53
12:54:38;23.08;67.53
12:54:41;23.08;67.54
12:54:43;23.08;67.51
12:54:45;23.08;67.50
12:54:47;23.09;67.47
12:54:50;23.09;67.46
12:54:52;23.09;67.47
12:54:54;23.09;67.50
12:54:57;23.09;67.51
12:54:59;23.09;67.55
