10:50:04;1430 ; 22.06 ; 69.46 ; 21.89 ; 66.92
10:50:07;1433 ; 22.06 ; 69.48 ; 21.89 ; 66.93
10:50:10;1436 ; 22.06 ; 69.48 ; 21.89 ; 66.93
10:50:13;1439 ; 22.06 ; 69.52 ; 21.86 ; 66.97
10:50:16;1442 ; 22.06 ; 69.49 ; 21.87 ; 66.96
10:50:19;1445 ; 22.06 ; 69.55 ; 21.87 ; 66.95
10:50:22;1448 ; 22.07 ; 69.54 ; 21.88 ; 66.97
10:50:25;1451 ; 22.07 ; 69.55 ; 21.91 ; 66.97
10:50:28;1454 ; 22.07 ; 69.55 ; 21.86 ; 66.98
10:50:31;1457 ; 22.07 ; 69.56 ; 21.89 ; 66.99
10:50:34;1460 ; 22.07 ; 69.58 ; 21.90 ; 67.03
10:50:37;1463 ; 22.07 ; 69.58 ; 21.91 ; 67.01
10:50:40;1466 ; 22.07 ; 69.60 ; 21.90 ; 67.02
10:50:43;1469 ; 22.08 ; 69.61 ; 21.89 ; 67.02
10:50:46;1472 ; 22.07 ; 69.62 ; 21.90 ; 67.02
10:50:49;1475 ; 22.08 ; 69.63 ; 21.90 ; 67.04
10:50:52;1478 ; 22.08 ; 69.62 ; 21.91 ; 67.06
10:50:55;1481 ; 22.08 ; 69.65 ; 21.90 ; 67.05
10:50:58;1484 ; 22.09 ; 69.66 ; 21.89 ; 67.05
10:51:01;1487 ; 22.08 ; 69.66 ; 21.90 ; 67.08
10:51:04;1490 ; 22.09 ; 69.67 ; 21.92 ; 67.09
10:51:07;1493 ; 22.09 ; 69.68 ; 21.90 ; 67.11
10:51:10;1496 ; 22.09 ; 69.69 ; 21.92 ; 67.11
10:51:13;1499 ; 22.09 ; 69.70 ; 21.91 ; 67.11
10:51:16;1502 ; 22.09 ; 69.72 ; 21.90 ; 67.10
10:51:19;1505 ; 22.08 ; 69.72 ; 21.89 ; 67.14
10:51:22;1508 ; 22.07 ; 69.75 ; 21.87 ; 67.18
10:51:25;1511 ; 22.06 ; 69.78 ; 21.89 ; 67.20
10:51:28;1514 ; 22.05 ; 69.81 ; 21.84 ; 67.21
10:51:31;1517 ; 22.04 ; 69.85 ; 21.83 ; 67.26
10:51:34;1520 ; 22.03 ; 69.88 ; 21.80 ; 67.30
10:51:37;1523 ; 22.01 ; 69.93 ; 21.78 ; 67.37
10:51:40;1526 ; 21.99 ; 69.96 ; 21.78 ; 67.39
10:51:43;1529 ; 21.97 ; 70.00 ; 21.74 ; 67.46
10:51:46;1532 ; 21.96 ; 70.03 ; 21.72 ; 67.50
10:51:49;1535 ; 21.94 ; 70.07 ; 21.68 ; 67.54
10:51:52;1538 ; 21.92 ; 70.11 ; 21.67 ; 67.60
10:51:56;1541 ; 21.89 ; 70.15 ; 21.63 ; 67.65
10:51:59;1544 ; 21.87 ; 70.20 ; 21.60 ; 67.74
10:52:02;1547 ; 21.84 ; 70.27 ; 21.56 ; 67.77
10:52:05;1550 ; 21.83 ; 70.31 ; 21.55 ; 67.82
10:52:08;1553 ; 21.80 ; 70.37 ; 21.51 ; 67.92
10:52:11;1556 ; 21.77 ; 70.42 ; 21.48 ; 67.93
10:52:14;1559 ; 21.74 ; 70.45 ; 21.46 ; 68.00
10:52:17;1562 ; 21.71 ; 70.51 ; 21.41 ; 68.07
10:52:20;1565 ; 21.69 ; 70.55 ; 21.39 ; 68.13
10:52:23;1568 ; 21.67 ; 70.59 ; 21.36 ; 68.16
10:52:26;1571 ; 21.64 ; 70.62 ; 21.33 ; 68.24
10:52:29;1574 ; 21.61 ; 70.68 ; 21.32 ; 68.30
10:52:32;1577 ; 21.59 ; 70.72 ; 21.27 ; 68.35
10:52:35;1580 ; 21.57 ; 70.76 ; 21.26 ; 68.38
10:52:38;1583 ; 21.53 ; 70.83 ; 21.21 ; 68.47
10:52:41;1586 ; 21.51 ; 70.88 ; 21.19 ; 68.50
10:52:44;1589 ; 21.48 ; 70.94 ; 21.15 ; 68.54
10:52:47;1592 ; 21.46 ; 70.98 ; 21.12 ; 68.61
10:52:50;1595 ; 21.43 ; 71.01 ; 21.10 ; 68.67
10:52:53;1598 ; 21.41 ; 71.06 ; 21.06 ; 68.72
